gutenberg_id,title,author,gutenberg_author_id,language,gutenberg_bookshelf,rights,has_text,subject_type,V1
15,Moby Dick,"Melville, Herman",9,en,Best Books Ever Listings/Adventure,Public domain in the USA.,TRUE,lcsh,"Sea stories, Mentally ill -- Fiction, Whaling -- Fiction, Ship captains -- Fiction, Ahab, Captain (Fictitious character) -- Fiction, Adventure stories, Psychological fiction, Whaling ships -- Fiction, Whales -- Fiction"
21,"Aesop's Fables
Translated by George Fyler Townsend",Aesop,18,en,NA,Public domain in the USA.,TRUE,lcsh,"Fables, Greek -- Translations into English, Aesop's fables -- Translations into English"
24,O Pioneers!,"Cather, Willa",22,en,NA,Public domain in the USA.,TRUE,lcsh,"Farm life -- Fiction, Frontier and pioneer life -- Nebraska -- Fiction, Women farmers -- Fiction, Brothers and sisters -- Fiction, Historical fiction, Women immigrants -- Fiction, Women pioneers -- Fiction, Nebraska -- Fiction, Domestic fiction, Swedish Americans -- Fiction"
27,Far from the Madding Crowd,"Hardy, Thomas",23,en,NA,Public domain in the USA.,TRUE,lcsh,"Wessex (England) -- Fiction, Didactic fiction, Women farmers -- Fiction, Farm life -- Fiction, Love stories, Pastoral fiction, Triangles (Interpersonal relations) -- Fiction"
28,Aesop's Fables,Aesop,18,en,Harvard Classics,Public domain in the USA.,TRUE,lcsh,"Fables, Greek -- Translations into English, Aesop's fables -- Translations into English"
32,Herland,"Gilman, Charlotte Perkins",27,en,Best Books Ever Listings,Public domain in the USA.,TRUE,lcsh,"Women -- Fiction, Utopian fiction, Utopias -- Fiction, Black humor"
33,The Scarlet Letter,"Hawthorne, Nathaniel",28,en,Movie Books/Harvard Classics,Public domain in the USA.,TRUE,lcsh,"Illegitimate children -- Fiction, Women immigrants -- Fiction, Triangles (Interpersonal relations) -- Fiction, Puritans -- Fiction, Revenge -- Fiction, Clergy -- Fiction, Married women -- Fiction, Boston (Mass.) -- History -- Colonial period, ca. 1600-1775 -- Fiction, Adultery -- Fiction, Psychological fiction, Historical fiction"
35,The Time Machine,"Wells, H. G. (Herbert George)",30,en,Science Fiction/Movie Books,Public domain in the USA.,TRUE,lcsh,"Dystopias -- Fiction, Time travel -- Fiction, Science fiction"
36,The War of the Worlds,"Wells, H. G. (Herbert George)",30,en,Movie Books/Science Fiction,Public domain in the USA.,TRUE,lcsh,"Science fiction, Life on other planets -- Fiction, Imaginary wars and battles -- Fiction, Martians -- Fiction, Space warfare -- Fiction, War stories, Mars (Planet) -- Fiction"
41,The Legend of Sleepy Hollow,"Irving, Washington",34,en,Children's Literature/Harvard Classics,Public domain in the USA.,TRUE,lcsh,"Ghosts -- Fiction, New York (State) -- History -- 1775-1865 -- Fiction"
