Title,Summary,Author
The Silent Wife,"Told in alternating voices, this gripping novel follows the events leading up to the violent dissolution of Jodi and Todd&#39;s marriage—a union steeped in lies, infidelity, jealousy and denial. Original.",A. S. A. Harrison
The Lightkeepers,"As the novel unfolds, Miranda gives witness to the natural wonders of this special place as she grapples with what has happened to her and deepens her connection (and her suspicions) to her companions, while falling under the thrall of the ...",Abby Geni
Too Like the Lightning,The year is 2454: Earth&#39;s hard-won utopian society is threatened by a young boy with apparently god-like powers.,Ada Palmer
Imagine Me Gone,"Might be the best American novel about a middle-class family since Franzen&#39;s The Corrections&#39; Independent &#39;Raw, tender, hilarious, dazzling&#39; Daily Mail",Adam Haslett
A Life of Adventure and Delight,First published as a Norton paperback 2018; hardback version published in 2017.,Akhil Sharma
The Death of Vivek Oji,"&quot;A tender, potent, and compulsively readable novel of a Nigerian-Indian family and the deeply held secret that tests their traditions and bonds&quot;--",Akwaeke Emezi
The Queen of the Night,"Featuring a cast of characters drawn from history, &quot;The Queen of the Night &quot; follows Lilliet as she moves ever closer to the truth behind the mysterious opera and the role that could secure her reputation -- or destroy her with the secrets ...",Alexander Chee
The Darkest Minds,&quot;Sixteen-year-old Ruby breaks out of a government-run &#39;rehabilitation camp&#39; for teens who acquired dangerous powers after surviving a virus that wiped out most American children&quot;--,Alexandra Bracken
Days of Distraction,"Captivated by the stories of her ancestors and other Asian Americans in history, she must confront a question at the core of her identity: How do you exist in a society that does not notice or understand you?&quot;-- Provided by publisher.",Alexandra Chang
Spring,"Spring. The great connective. With an eye to the migrancy of story over time, and riffing on Pericles, one of Shakespeare&#39;s most resistant and rollicking works, Ali Smith tells the impossible tale of an impossible time.",Ali Smith
Wallbanger,A young woman living in a fantastic new apartment in San Francisco has difficulty sleeping at night due to the late-night noises she hears from the apartment next door until a chance encounter with one of her neighbors helps distract her.,Alice Clayton
Conscience,"When Olive is asked to write an essay about Val’s book, doing so brings back to the forefront Olive and Griff’s tangled histories and their complicated reflections on that tumultuous time in their young lives.Conscience, the dazzling ...",Alice Mattison
Of This New World,"Starting with the Garden of Eden and ending in a Mars colony, the stories wrestle with conflicts of idealism and practicality, communal ambition and individual kink.",Allegra Hyde
Heist Society,"With its glamorous international settings, intriguing suspense, complicated cons and even more complicated romance, Heist Society is stealing the hearts of Ally Carter fans everywhere.",Ally Carter
Crossed,"Seventeen-year-old Cassia sacrifices everything and heads to the Outer Provinces in search of Ky, where she is confronted with shocking revelations about Society and the promise of rebellion.",Ally Condie
Reached,"In search of a better life, Cassia joins a widespread rebellion against Society, where she is tasked with finding a cure to the threat of survival and must choose between Xander and Ky.",Allyson Braithwaite Condie
Matched,"When she is Matched with her best friend Xander, things couldn&#39;t be more perfect. But why did her neighbor Ky&#39;s face show up on her match disk as well?",Allyson Braithwaite Condie
And I Do Not Forgive You,"At once humorous and unapologetically fi erce, these stories shine an interrogating light on the adage that &quot;history likes to lie about women&quot;-- as the subjects of &quot;A Short and Speculative History of Lavoisier&#39;s Wife&quot; and &quot;You Won&#39;t Believe ...",Amber Sparks
Illuminae,"&quot;The planet Kerenza is attacked, and Kady and Ezra find themselves on a space fleet fleeing the enemy, while their ship&#39;s artificial intelligence system and a deadly plague may be the end of them all&quot;--","Amie Kaufman,Jay Kristoff"
These Broken Stars,"But they won’t be the same people who landed on it. The first in a sweeping science fiction trilogy, These Broken Stars is a timeless love story about hope and survival in the face of unthinkable odds.","Amie Kaufman,Meagan Spooner"
Immortals of Meluha,"This is the first book in a trilogy on Shiva, the simple man whose karma re-cast his as our Mahadev, the God of Gods.",Amish Tripathi
Sing to It,"“All the tawdry details I’m dying for are in these stories, but they’re given out like old sweaters—without shame, without guile.",Amy Hempel
Yes Please,"Did you wish you were in the audience at the last two Golden Globes ceremonies, so you could bask in the hilarity of Amy&#39;s one-liners? If your answer to these questions is &quot;Yes Please!&quot; then you are in luck.",Amy Poehler
Nightshade,"Calla and Ren have been raised knowing it is their destiny to mate with one another and rule over their pack, but when a human boy arrives and vies for Calla&#39;s heart, she is faced with a decision that could change her whole world.",Andrea R. Cremer
The Martian,"Stranded on Mars by a dust storm that compromised his space suit and forced his crew to leave him behind, astronaut Watney struggles to survive in spite of minimal supplies and harsh environmental challenges that test his ingenuity in ...",Andy Weir
Dominicana,"In bright, musical prose that reflects the energy of New York City, Angie Cruz&#39;s Dominicana is a vital portrait of the immigrant experience and the timeless coming-of-age story of a young woman finding her voice in the world.",Angie Cruz
Dear Edward,"#ReadWithJenna Book Club Pick as Featured on Today * A twelve-year-old boy struggles with the worst kind of fame--as the sole survivor of a notorious plane crash--in this &quot;stunning novel of courage and connection&quot; (Helen Simonson, ...",Ann Napolitano
After,"Experience the internet&#39;s most talked-about book, now a major motion picture, from Anna Todd, the writer Cosmopolitan called &quot;the biggest literary phenomenon of her generation.",Anna Todd
Actress,"This is the story of Irish theatre legend Katherine O&#39;Dell, as told by her daughter Norah.",Anne Enright
Rabbit Cake,"Elvis Babbitt has a head for the facts: she knows science proves yellow is the happiest color, she knows a healthy male giraffe weighs about 3,000 pounds, and she knows that the naked mole rat is the longest living rodent.",Annie Hartnett
All the Light We Cannot See,A cloth bag containing 20 paperback copies of the title that may also include a folder with sign out sheets.,Anthony Doerr
The King at the Edge of the World,He will do almost anything to return home to his wife and son. Arthur Phillips returns with a unique and thrilling novel that will leave readers questioning the nature of truth at every turn.,Arthur Phillips
Being Mortal,"Through eye-opening research and gripping stories of his own patients and family, Gawande reveals the suffering this dynamic has produced.",Atul Gawande
Theory of Bastards,&quot;Recovering.,Audrey Schulman
The Readymade Thief,"&quot;Lee Cuddy is 17 years old and on the run, alone on the streets of Philadelphia.",Augustus Rose
Title,Summary,Author
Modern Romance,"The acclaimed comedian teams up with a New York University sociologist to explore the nature of modern relationships, evaluating how technology is shaping contemporary relationships and considering the differences between courtships of the ...","Aziz Ansari,Eric Klinenberg"
